book_id,slug,title,author,cover_image,pillar,secondary_categories,short_synopsis,gambrell_commentary,description_search_text,learn_more_label,post_url,inspector_enabled,learn_more_enabled,popup_mode,bookmark_enabled,related_gambrell_connections,investment_connections,partner_connections,external_purchase_url,external_supporting_links,related_book_ids,display_status,sort_order
B001,atomic-habits,Atomic Habits,James Clear,atomic-habits.jpg,Purpose & Meaning,Non-fiction|Core/Essentials,A practical guide to how small repeated behaviors shape long-term outcomes.,"Useful because it makes personal and organizational change feel achievable through systems, not willpower alone.",Atomic Habits James Clear habits behavior systems change routines productivity purpose meaning,Learn More,/library/atomic-habits/,true,true,modal,true,,,,https://example.org/buy/atomic-habits,,B030|B041|B043,published,1
B002,the-art-of-gathering,The Art of Gathering,Priya Parker,the-art-of-gathering.jpg,Belonging,Non-fiction|Book Club,A book about how intentional gatherings can create deeper connection and purpose.,"Helpful because it reframes gathering as something shaped with care, which is central to how people build belonging.",The Art of Gathering Priya Parker community gatherings belonging meetings connection design,Learn More,/library/the-art-of-gathering/,true,true,modal,true,Convenings and dialogue,,,https://example.org/buy/the-art-of-gathering,,B008|B017|B036,published,2
B003,mans-search-for-meaning,Man's Search for Meaning,Viktor E. Frankl,mans-search-for-meaning.jpg,Purpose & Meaning,Philosophy|Core/Essentials,"A classic exploration of meaning, suffering, and human resilience.",A foundational title for thinking about what sustains people through uncertainty and why meaning matters in real life.,Mans Search for Meaning Viktor Frankl resilience suffering philosophy purpose meaning vocation,Learn More,/library/mans-search-for-meaning/,true,true,modal,true,,,,https://example.org/buy/mans-search-for-meaning,,B040|B044|B022,published,3
B004,braiding-sweetgrass,Braiding Sweetgrass,Robin Wall Kimmerer,braiding-sweetgrass.jpg,Awe & Wonder,Non-fiction|Wisdom Traditions,"An essay collection weaving Indigenous knowledge, ecology, and gratitude.",Important because it links wonder with reciprocity and reminds readers that care and attention shape how we live together.,Braiding Sweetgrass Robin Wall Kimmerer ecology reciprocity gratitude awe wonder Indigenous knowledge,Learn More,/library/braiding-sweetgrass/,true,true,modal,true,Ecology and stewardship,,Land stewardship partners,https://example.org/buy/braiding-sweetgrass,https://example.org/media/braiding-sweetgrass,B027|B039|B046,published,4
B005,the-book-of-delights,The Book of Delights,Ross Gay,the-book-of-delights.jpg,Awe & Wonder,Non-fiction|Sally’s Pick,A series of brief essays noticing delight in ordinary life.,"A lovely reminder that attention itself can be a practice, and that delight can expand how we move through the world.",The Book of Delights Ross Gay delight joy noticing essays awe wonder everyday life,Learn More,/library/the-book-of-delights/,true,true,modal,true,,,,https://example.org/buy/the-book-of-delights,,B015|B021|B042,published,5
B006,the-giving-tree,The Giving Tree,Shel Silverstein,the-giving-tree.jpg,Relationship,Fiction,"A short illustrated story about generosity, attachment, and care.","A familiar book that still opens strong questions about love, reciprocity, and what healthy giving looks like.",The Giving Tree Shel Silverstein giving care love reciprocity relationship fiction,Learn More,/library/the-giving-tree/,true,true,modal,true,,,,https://example.org/buy/the-giving-tree,,B015|B029|B050,published,6
B007,the-prophet,The Prophet,Kahlil Gibran,the-prophet.jpg,Philosophy & Spirituality,Philosophy|Spirituality|Wisdom Traditions,"A poetic meditation on love, work, joy, sorrow, and the human condition.",A concise and enduring work that offers spiritual reflection without losing emotional warmth.,The Prophet Kahlil Gibran poetry spirituality philosophy wisdom traditions reflection,Learn More,/library/the-prophet/,true,true,modal,true,,,,https://example.org/buy/the-prophet,,B014|B031|B047,published,7
B008,all-about-love,All About Love,bell hooks,all-about-love.jpg,Relationship,Non-fiction|Core/Essentials,"A reflection on love as an ethic, practice, and social force.","Important because it treats love as something active and transformative, not just personal sentiment.",All About Love bell hooks love care ethics relationship transformation,Learn More,/library/all-about-love/,true,true,modal,true,Care and connection,,,https://example.org/buy/all-about-love,,B002|B018|B029,published,8
B009,the-overstory,The Overstory,Richard Powers,the-overstory.jpg,Belonging,Fiction|Book Club,An expansive novel connecting human lives to the life of trees.,"A powerful literary way into interdependence, shared responsibility, and belonging within a larger living world.",The Overstory Richard Powers trees interdependence belonging environment fiction,Learn More,/library/the-overstory/,true,true,modal,true,,,,https://example.org/buy/the-overstory,,B004|B035|B046,published,9
B010,the-road-less-traveled,The Road Less Traveled,M. Scott Peck,the-road-less-traveled.jpg,Purpose & Meaning,Spirituality|Non-fiction,"A self-help classic about discipline, love, and spiritual growth.",Relevant because it speaks to the long work of becoming and the tension between comfort and growth.,The Road Less Traveled M Scott Peck discipline growth spirituality purpose meaning,Learn More,/library/the-road-less-traveled/,true,true,modal,true,,,,https://example.org/buy/the-road-less-traveled,,B033|B044|B003,published,10
B011,gilead,Gilead,Marilynne Robinson,gilead.jpg,Philosophy & Spirituality,Fiction|Book Club,A quiet novel in the form of a letter from a father to his son.,"A deeply humane book that makes room for grace, memory, and spiritual reflection without forcing certainty.",Gilead Marilynne Robinson grace memory spirituality letter fiction philosophy,Learn More,/library/gilead/,true,true,modal,true,,,,https://example.org/buy/gilead,,B022|B031|B050,published,11
B012,the-warmth-of-other-suns,The Warmth of Other Suns,Isabel Wilkerson,the-warmth-of-other-suns.jpg,Belonging,Non-fiction|Core/Essentials,A history of the Great Migration told through individual lives.,"An important book for understanding how systems and movement shape belonging, opportunity, and identity.",The Warmth of Other Suns Isabel Wilkerson Great Migration belonging identity history,Learn More,/library/the-warmth-of-other-suns/,true,true,modal,true,Systems and mobility,,,https://example.org/buy/the-warmth-of-other-suns,,B026|B028|B032,published,12
B013,being-mortal,Being Mortal,Atul Gawande,being-mortal.jpg,Purpose & Meaning,Non-fiction,"A book about aging, mortality, and what matters most near the end of life.","Useful because it grounds big questions of purpose in real decisions about dignity, care, and autonomy.",Being Mortal Atul Gawande aging mortality dignity care purpose meaning,Learn More,/library/being-mortal/,true,true,modal,true,Health and dignity,,,https://example.org/buy/being-mortal,,B021|B043|B003,published,13
B014,when-things-fall-apart,When Things Fall Apart,Pema Chödrön,when-things-fall-apart.jpg,Philosophy & Spirituality,Spirituality|Wisdom Traditions,"A Buddhist-inspired reflection on uncertainty, fear, and compassion.",A helpful companion for moments when life feels unsettled and certainty is out of reach.,When Things Fall Apart Pema Chodron uncertainty fear compassion spirituality wisdom,Learn More,/library/when-things-fall-apart/,true,true,modal,true,,,,https://example.org/buy/when-things-fall-apart,,B007|B033|B047,published,14
B015,the-little-prince,The Little Prince,Antoine de Saint-Exupéry,the-little-prince.jpg,Awe & Wonder,Fiction|Core/Essentials,"A beloved novella about imagination, love, and seeing what matters.",A simple but enduring invitation to take wonder seriously and resist flattening the world into utility.,The Little Prince Antoine de Saint Exupery wonder imagination love fiction essentials,Learn More,/library/the-little-prince/,true,true,modal,true,,,,https://example.org/buy/the-little-prince,,B005|B006|B022,published,15
B016,the-midnight-library,The Midnight Library,Matt Haig,the-midnight-library.jpg,Luck & Randomness,Fiction|Book Club,A novel imagining alternate lives built from different choices.,"A readable way into questions of contingency, regret, and how people make sense of paths not taken.",The Midnight Library Matt Haig regret alternate lives luck randomness choice fiction,Learn More,/library/the-midnight-library/,true,true,modal,true,,,,https://example.org/buy/the-midnight-library,,B023|B024|B045,published,16
B017,how-we-show-up,How We Show Up,Mia Birdsong,how-we-show-up.jpg,Belonging,Non-fiction|Philanthropy,"A book about mutual care, community, and interdependence beyond individualism.",Important because it names how support actually happens and challenges narrow ideas of success and self-sufficiency.,How We Show Up Mia Birdsong community care belonging philanthropy mutual aid,Learn More,/library/how-we-show-up/,true,true,modal,true,Community care,,Community-led networks,https://example.org/buy/how-we-show-up,,B002|B026|B036,published,17
B018,the-amen-effect,The Amen Effect,Sharon Brous,the-amen-effect.jpg,Relationship,Spirituality|Non-fiction,A reflection on how spiritual life and community can deepen human connection.,Useful because it ties relationship to responsibility and insists that we need one another.,The Amen Effect Sharon Brous spirituality connection community relationship care,Learn More,/library/the-amen-effect/,true,true,modal,true,Faith and community,,,https://example.org/buy/the-amen-effect,,B008|B044|B050,published,18
B019,moral-leadership-for-a-divided-age,Moral Leadership for a Divided Age,David P. Gushee,moral-leadership-for-a-divided-age.jpg,Philosophy & Spirituality,Philosophy|Non-fiction,"A book about ethics, leadership, and moral courage in fractured times.",Relevant because it links values to action and asks what principled leadership requires under pressure.,Moral Leadership for a Divided Age David Gushee ethics leadership philosophy spirituality,Learn More,/library/moral-leadership-for-a-divided-age/,true,true,modal,true,Leadership and values,,,https://example.org/buy/moral-leadership-for-a-divided-age,,B025|B028|B037,published,19
B020,the-soul-of-money,The Soul of Money,Lynne Twist,the-soul-of-money.jpg,Purpose & Meaning,Philanthropy|Non-fiction|Core/Essentials,"A reflection on money, sufficiency, and generosity.","A strong fit for Gambrell because it asks how resources can align with values, relationship, and deeper purpose.",The Soul of Money Lynne Twist money generosity sufficiency philanthropy purpose meaning,Learn More,/library/the-soul-of-money/,true,true,modal,true,Philanthropy and values,Resource allocation,,https://example.org/buy/the-soul-of-money,,B027|B036|B037,published,20
B021,wintering,Wintering,Katherine May,wintering.jpg,Awe & Wonder,Non-fiction|Sally’s Pick,"A meditation on retreat, resilience, and seasonal change.",A gentle book that validates slower seasons and helps readers see pause as part of life rather than failure.,Wintering Katherine May resilience pause seasons awe wonder reflection,Learn More,/library/wintering/,true,true,modal,true,,,,https://example.org/buy/wintering,,B005|B013|B030,published,21
B022,the-alchemist,The Alchemist,Paulo Coelho,the-alchemist.jpg,Purpose & Meaning,Fiction|Spirituality,"A widely read novel about destiny, risk, and listening for meaning.","Its appeal is its simplicity: it invites reflection on longing, direction, and what it means to pursue a life that feels true.",The Alchemist Paulo Coelho destiny journey spirituality fiction purpose meaning,Learn More,/library/the-alchemist/,true,true,modal,true,,,,https://example.org/buy/the-alchemist,,B003|B011|B015,published,22
B023,the-undoing-project,The Undoing Project,Michael Lewis,the-undoing-project.jpg,Luck & Randomness,Non-fiction,A narrative account of the thinkers behind behavioral economics and judgment research.,"Useful because it offers a compelling way to think about decision making, bias, and the limits of rational certainty.",The Undoing Project Michael Lewis behavior economics judgment luck randomness bias,Learn More,/library/the-undoing-project/,true,true,modal,true,,,,https://example.org/buy/the-undoing-project,,B016|B024|B045,published,23
B024,thinking-fast-and-slow,"Thinking, Fast and Slow",Daniel Kahneman,thinking-fast-and-slow.jpg,Luck & Randomness,Non-fiction|Core/Essentials,"A foundational book on cognitive bias, judgment, and decision-making.","A useful anchor text for understanding how people assess risk, chance, and uncertainty.",Thinking Fast and Slow Daniel Kahneman bias cognition judgment uncertainty luck randomness,Learn More,/library/thinking-fast-and-slow/,true,true,modal,true,,,,https://example.org/buy/thinking-fast-and-slow,,B016|B023|B049,published,24
B025,the-righteous-mind,The Righteous Mind,Jonathan Haidt,the-righteous-mind.jpg,Philosophy & Spirituality,Philosophy|Non-fiction,A book about moral psychology and why people disagree.,Helpful for readers trying to understand ethical difference without collapsing into caricature.,The Righteous Mind Jonathan Haidt moral psychology philosophy disagreement ethics,Learn More,/library/the-righteous-mind/,true,true,modal,true,,,,https://example.org/buy/the-righteous-mind,,B019|B028|B049,published,25
B026,humankind,Humankind,Rutger Bregman,humankind.jpg,Belonging,Non-fiction|Book Club,A provocative argument that people are more cooperative and decent than often assumed.,A strong conversation starter that pushes back on scarcity narratives about human nature.,Humankind Rutger Bregman cooperation belonging trust human nature nonfiction,Learn More,/library/humankind/,true,true,modal,true,,,,https://example.org/buy/humankind,,B012|B017|B032,published,26
B027,the-serviceberry,The Serviceberry,Robin Wall Kimmerer,the-serviceberry.jpg,Relationship,Non-fiction|Philanthropy|Wisdom Traditions,"A short work about gift economies, reciprocity, and relational abundance.",Especially resonant for philanthropy because it invites giving rooted in reciprocity rather than extraction.,The Serviceberry Robin Wall Kimmerer reciprocity gift economy philanthropy relationship,Learn More,/library/the-serviceberry/,true,true,modal,true,Philanthropy and reciprocity,Resource allocation,,https://example.org/buy/the-serviceberry,,B004|B020|B037,published,27
B028,on-tyranny,On Tyranny,Timothy Snyder,on-tyranny.jpg,Belonging,Non-fiction|Core/Essentials,A concise civic handbook about democratic responsibility and public life.,"Useful when thinking about how belonging depends on institutions, participation, and shared courage.",On Tyranny Timothy Snyder democracy belonging institutions public life civic courage,Learn More,/library/on-tyranny/,true,true,modal,true,Civic belonging,,,https://example.org/buy/on-tyranny,,B012|B019|B025,published,28
B029,the-art-of-loving,The Art of Loving,Erich Fromm,the-art-of-loving.jpg,Relationship,Philosophy|Non-fiction,"A classic reflection on love as practice, discipline, and art.",It treats relationship as something cultivated with intention rather than merely felt.,The Art of Loving Erich Fromm love relationship philosophy care practice,Learn More,/library/the-art-of-loving/,true,true,modal,true,,,,https://example.org/buy/the-art-of-loving,,B006|B008|B050,published,29
B030,stolen-focus,Stolen Focus,Johann Hari,stolen-focus.jpg,Purpose & Meaning,Non-fiction|Book Club,"A book about attention, distraction, and the conditions that shape focus.",Useful because it links personal attention to social systems and asks what conditions support meaningful work.,Stolen Focus Johann Hari attention distraction purpose meaning systems,Learn More,/library/stolen-focus/,true,true,modal,true,Attention and learning,,,https://example.org/buy/stolen-focus,,B001|B021|B041,published,30
B031,the-guest-house,The Guest House,Rumi,the-guest-house.jpg,Philosophy & Spirituality,Spirituality|Wisdom Traditions,A brief poem about welcoming the full range of human experience.,"A compact and generous text that invites openness, humility, and spiritual spaciousness.",The Guest House Rumi spirituality poem wisdom traditions emotions,Learn More,/library/the-guest-house/,true,true,modal,true,,,,https://example.org/buy/the-guest-house,,B007|B011|B047,published,31
B032,caste,Caste,Isabel Wilkerson,caste.jpg,Belonging,Non-fiction|Core/Essentials,A book examining entrenched social hierarchy and its consequences.,Important because it shows how belonging can be shaped and distorted by durable systems of exclusion.,Caste Isabel Wilkerson hierarchy exclusion belonging history systems,Learn More,/library/caste/,true,true,modal,true,,,,https://example.org/buy/caste,,B012|B026|B035,published,32
B033,the-four-agreements,The Four Agreements,Don Miguel Ruiz,the-four-agreements.jpg,Philosophy & Spirituality,Spirituality|Core/Essentials,A brief spiritual guide centered on four practices for daily life.,"Its strength is its simplicity, offering memorable principles readers can carry into everyday interactions.",The Four Agreements Don Miguel Ruiz spirituality agreements daily life,Learn More,/library/the-four-agreements/,true,true,modal,true,,,,https://example.org/buy/the-four-agreements,,B010|B014|B047,published,33
B034,the-power-of-myth,The Power of Myth,Joseph Campbell,the-power-of-myth.jpg,Awe & Wonder,Philosophy|Wisdom Traditions|Non-fiction,"A conversation about myth, symbol, and the enduring patterns of meaning-making.",Helpful because it shows how stories organize inner life and collective imagination.,The Power of Myth Joseph Campbell myth symbolism awe wonder philosophy,Learn More,/library/the-power-of-myth/,true,true,modal,true,,,,https://example.org/buy/the-power-of-myth,,B038|B040|B044,published,34
B035,parable-of-the-sower,Parable of the Sower,Octavia E. Butler,parable-of-the-sower.jpg,Belonging,Fiction|Book Club,"A speculative novel about collapse, adaptation, and building a new community.",A powerful book for thinking about belonging under pressure and how communities form in response to instability.,Parable of the Sower Octavia Butler belonging community instability fiction,Learn More,/library/parable-of-the-sower/,true,true,modal,true,,,,https://example.org/buy/parable-of-the-sower,,B009|B032|B048,published,35
B036,emergent-strategy,Emergent Strategy,adrienne maree brown,emergent-strategy.jpg,Relationship,Philanthropy|Non-fiction|Core/Essentials,"A book about change, adaptation, and relational practice inspired by living systems.","A strong fit because it ties strategy to relationship, scale, and the quality of how people work together.",Emergent Strategy adrienne maree brown strategy relationship philanthropy adaptation,Learn More,/library/emergent-strategy/,true,true,modal,true,Collective practice,Systems change,Movement and practice communities,https://example.org/buy/emergent-strategy,,B002|B017|B020,published,36
B037,the-gift,The Gift,Lewis Hyde,the-gift.jpg,Philosophy & Spirituality,Philanthropy|Philosophy|Non-fiction,"A reflection on creativity, exchange, and the meaning of gifts beyond markets.","Especially relevant where art, generosity, and philanthropy overlap in thoughtful ways.",The Gift Lewis Hyde creativity exchange gifts philanthropy philosophy,Learn More,/library/the-gift/,true,true,modal,true,,,,https://example.org/buy/the-gift,,B019|B020|B027,published,37
B038,the-odyssey,The Odyssey,Homer,the-odyssey.jpg,Purpose & Meaning,Fiction|Wisdom Traditions,"An epic journey home shaped by danger, endurance, and identity.","A classic story of return, testing, and purpose that still resonates as a map of human striving.",The Odyssey Homer journey return identity fiction wisdom traditions purpose meaning,Learn More,/library/the-odyssey/,true,true,modal,true,,,,https://example.org/buy/the-odyssey,,B034|B040|B042,published,38
B039,the-practice-of-the-wild,The Practice of the Wild,Gary Snyder,the-practice-of-the-wild.jpg,Awe & Wonder,Philosophy|Non-fiction,"A set of essays on nature, culture, and attention to place.",Useful because it links wonder to discipline and to a more grounded relationship with the living world.,The Practice of the Wild Gary Snyder nature place wonder philosophy,Learn More,/library/the-practice-of-the-wild/,true,true,modal,true,,,,https://example.org/buy/the-practice-of-the-wild,,B004|B046|B048,published,39
B040,the-hero-with-a-thousand-faces,The Hero with a Thousand Faces,Joseph Campbell,the-hero-with-a-thousand-faces.jpg,Purpose & Meaning,Philosophy|Wisdom Traditions,A study of recurring narrative patterns across cultures and myths.,"A useful lens on transformation, calling, and the structure of journeys people recognize in their own lives.",The Hero with a Thousand Faces Joseph Campbell journey myth purpose meaning,Learn More,/library/the-hero-with-a-thousand-faces/,true,true,modal,true,,,,https://example.org/buy/the-hero-with-a-thousand-faces,,B003|B034|B038,published,40
B041,the-blue-zones-of-happiness,The Blue Zones of Happiness,Dan Buettner,the-blue-zones-of-happiness.jpg,Purpose & Meaning,Non-fiction,A book exploring places and practices associated with well-being and life satisfaction.,"Helpful because it connects purpose to conditions, habits, and environments that support flourishing.",The Blue Zones of Happiness Dan Buettner happiness purpose habits well being,Learn More,/library/the-blue-zones-of-happiness/,true,true,modal,true,,,,https://example.org/buy/the-blue-zones-of-happiness,,B001|B030|B043,published,41
B042,the-river-why,The River Why,David James Duncan,the-river-why.jpg,Awe & Wonder,Fiction|Sally’s Pick,"A novel about obsession, solitude, humor, and awakening through the natural world.","It brings levity and depth together and makes wonder feel alive, embodied, and local.",The River Why David James Duncan wonder nature fiction awakening,Learn More,/library/the-river-why/,true,true,modal,true,,,,https://example.org/buy/the-river-why,,B005|B038|B046,published,42
B043,small-is-beautiful,Small Is Beautiful,E. F. Schumacher,small-is-beautiful.jpg,Philosophy & Spirituality,Philosophy|Non-fiction,"A collection of essays on economics, scale, and human-centered development.","Still valuable because it asks whether our systems are sized for dignity, stewardship, and real human need.",Small Is Beautiful E F Schumacher economics scale stewardship philosophy,Learn More,/library/small-is-beautiful/,true,true,modal,true,,,,https://example.org/buy/small-is-beautiful,,B001|B013|B041,published,43
B044,let-your-life-speak,Let Your Life Speak,Parker J. Palmer,let-your-life-speak.jpg,Purpose & Meaning,Spirituality|Non-fiction|Core/Essentials,"A short reflection on vocation, identity, and listening for the life one is meant to live.",A warm and clarifying book about calling that avoids performance and invites honesty.,Let Your Life Speak Parker Palmer vocation calling spirituality purpose meaning,Learn More,/library/let-your-life-speak/,true,true,modal,true,,,,https://example.org/buy/let-your-life-speak,,B003|B018|B034,published,44
B045,the-true-and-only-heaven,The True and Only Heaven,Christopher Lasch,the-true-and-only-heaven.jpg,Luck & Randomness,Philosophy|Non-fiction,A cultural critique of progress and modern expectations.,"Useful for questioning inherited assumptions about advancement, control, and inevitability.",The True and Only Heaven Christopher Lasch progress critique randomness contingency,Learn More,/library/the-true-and-only-heaven/,true,true,modal,true,,,,https://example.org/buy/the-true-and-only-heaven,,B016|B023|B049,published,45
B046,the-seed-keeper,The Seed Keeper,Diane Wilson,the-seed-keeper.jpg,Belonging,Fiction|Wisdom Traditions,"A novel about memory, land, family, and cultural inheritance.","A strong bridge between story, place, and belonging across generations.",The Seed Keeper Diane Wilson memory land belonging fiction inheritance,Learn More,/library/the-seed-keeper/,true,true,modal,true,,,,https://example.org/buy/the-seed-keeper,,B004|B009|B042,published,46
B047,no-death-no-fear,"No Death, No Fear",Thich Nhat Hanh,no-death-no-fear.jpg,Philosophy & Spirituality,Spirituality|Wisdom Traditions,"A spiritual reflection on fear, loss, and interbeing.",A calming and generous book that helps readers approach uncertainty with greater steadiness.,No Death No Fear Thich Nhat Hanh spirituality fear loss interbeing,Learn More,/library/no-death-no-fear/,true,true,modal,true,,,,https://example.org/buy/no-death-no-fear,,B007|B014|B033,published,47
B048,the-garden-of-evening-mists,The Garden of Evening Mists,Tan Twan Eng,the-garden-of-evening-mists.jpg,Relationship,Fiction,"A novel about memory, trauma, beauty, and the relationships that shape healing.","A literary work that shows how care, attention, and art can coexist with grief and history.",The Garden of Evening Mists Tan Twan Eng relationship memory healing fiction,Learn More,/library/the-garden-of-evening-mists/,true,true,modal,true,,,,https://example.org/buy/the-garden-of-evening-mists,,B035|B039|B050,published,48
B049,the-precipice,The Precipice,Toby Ord,the-precipice.jpg,Luck & Randomness,Non-fiction|Philosophy,A book about existential risk and humanity's long-term future.,Relevant because it widens the frame of responsibility and asks how we think about uncertainty at civilizational scale.,The Precipice Toby Ord existential risk uncertainty future luck randomness,Learn More,/library/the-precipice/,true,true,modal,true,,,,https://example.org/buy/the-precipice,,B024|B025|B045,published,49
B050,anam-cara,Anam Cara,John O'Donohue,anam-cara.jpg,Relationship,Spirituality|Sally’s Pick,"A poetic meditation on friendship, soul, and the inner life of relationship.","A beautiful choice for the library because it treats relationship as sacred, spacious, and sustaining.",Anam Cara John ODonohue friendship soul relationship spirituality,Learn More,/library/anam-cara/,true,true,modal,true,,,,https://example.org/buy/anam-cara,,B006|B018|B029,published,50
